COUNTY,PovertyPercentage,CroplandPercentage,cropct2017,SpecialtyCropPercentage,pctsc2017
Burleson,13.6,45.10234353,0.45102344,0.01786717,0.00017867
Caldwell,18.6,30.5926809,0.30592681,0.07532062,0.00075321
Calhoun,18.1,23.70204621,0.23702046,0.00097584,0.00000976
Camp,19.3,29.80999708,0.29809997,0.00222276,0.00002223
Cass,19.2,11.34191293,0.11341913,0.01592137,0.00015921
Chambers,11.7,34.27186301,0.34271863,0.00000000,0.00000000
Cherokee,21.9,22.77232502,0.22772325,0.00104687,0.00001047
Cochran,19.6,51.75852294,0.51758523,0.07714188,0.00077142
Coleman,18.3,17.14714711,0.17147147,0.00048811,0.00000488
Comal,9.2,4.569128475,0.04569128,0.00338499,0.00003385
Cottle,25,15.70012143,0.15700121,0.07114678,0.00071147
Crane,11.7,9.367449905,0.09367450,0.00000000,0.00000000
Crockett,22.7,0.040859593,0.00040860,0.00000000,0.00000000
Dallas,18.6,18.06559599,0.18065596,0.00133855,0.00001339
Delta,21.5,67.56673621,0.67566736,0.00012503,0.00000125
Dickens,19,25.9024709,0.25902471,0.00095969,0.00000960
Dimmit,23.3,12.1913731,0.12191373,0.00346317,0.00003463
Ector,12.4,0.549803833,0.00549804,0.00000000,0.00000000
Floyd,22,86.00072697,0.86000727,0.01529980,0.00015300
Foard,6.9,22.57511068,0.22575111,0.13076047,0.00130760
Fort Bend,8.2,60.00034369,0.60000344,0.01448307,0.00014483
Freestone,16.6,42.4453095,0.42445309,0.00179201,0.00001792
Galveston,13.6,9.972498434,0.09972498,0.00007954,0.00000080
Glasscock,5.3,24.19959619,0.24199596,0.00817551,0.00008176
Goliad,16.9,41.51338751,0.41513388,0.00153656,0.00001537
Lynn,19.8,87.63024076,0.87630241,0.11729857,0.00117299
McCulloch,18.4,14.61985478,0.14619855,0.01417898,0.00014179
McLennan,19.9,72.13747213,0.72137472,0.01851794,0.00018518
Marion,21.6,6.943183176,0.06943183,0.00653114,0.00006531
Martin,10.6,42.27236578,0.42272366,0.04796709,0.00047967
Mason,14.9,3.63243256,0.03632433,0.00149104,0.00001491
Maverick,24.7,16.54620111,0.16546201,0.14649893,0.00146499
Jackson,13,66.55968802,0.66559688,0.00969230,0.00009692
Jefferson,20,31.95501075,0.31955011,0.00000000,0.00000000
Jim Hogg,20.9,64.04721882,0.64047219,0.00030584,0.00000306
Jim Wells,20.7,45.74211583,0.45742116,0.70059422,0.00700594
Johnson,12.1,70.47457264,0.70474573,0.00123012,0.00001230
Jones,16.7,52.98807186,0.52988072,0.41889460,0.00418895
Karnes,24,46.54417918,0.46544179,0.01226636,0.00012266
Kaufman,13.7,70.60159463,0.70601595,0.00124771,0.00001248
Kendall,6.1,2.077621607,0.02077622,0.00151988,0.00001520
Kerr,16.7,0.861609388,0.00861609,0.00015691,0.00000157
Kimble,19,0.571766784,0.00571767,0.00174971,0.00001750
Kinney,20.5,6.590096084,0.06590096,0.00007637,0.00000076
Knox,14.7,40.56131185,0.40561312,0.05357736,0.00053577
Lamb,20.8,92.70210013,0.92702100,0.42072615,0.00420726
Lampasas,13.7,12.56275218,0.12562752,0.01392043,0.00013920
La Salle,13.2,17.43258886,0.17432589,0.01983695,0.00019837
Lavaca,10.4,47.464373,0.47464373,0.05718509,0.00057185
Liberty,17.3,31.92420164,0.31924202,0.00050218,0.00000502
