NAME,crop0809,crop0910,crop1011,crop1112,crop1213,crop1314,crop1415,crop1516,crop1617
Pecos County,0.00359713,-0.009000263,9.3932E-05,0.003693614,-0.000153588,0.01349828,-0.001372297,-0.001911094,-0.002487157
Polk County,0.000269937,0.044264633,-0.041818604,-0.005370553,0.011156346,-0.008988709,-0.033416428,0.001071605,-0.001009288
Rains County,0.008377582,-0.001774866,0.002052776,-0.006014674,-0.000127543,0.008352073,-0.058296693,0.009345569,-0.000753177
Reagan County,0.016432385,-0.009188791,0.009751991,0.001650005,-0.003537287,0.004641821,0.004349288,-0.001201159,-0.001811637
Red River County,-0.002982865,-0.017265827,0.006844378,0.00045445,0.001694488,0.005497798,-0.050010919,-0.011732186,0.011787102
Refugio County,0.016503089,-0.0546513,-0.021552542,-0.02675403,0.031855718,0.010968226,-0.081822791,-0.015979033,0.007098112
San Augustine County,0.001395137,0.015508434,-0.024074036,0.008182497,-0.002239377,0.010741031,-0.028922402,0.000546791,0.004294535
San Jacinto County,-0.003654167,0.010420158,-0.017291851,-0.004710073,-0.001784194,0.016732907,-0.040704417,0.003303858,0.002052598
San Patricio County,0.001937861,-0.012826301,-0.02736271,0.014143241,0.001967311,-0.011461749,-0.014163857,-0.002011978,0.009303989
San Saba County,0.012540272,0.012853756,-0.038629641,0.01832492,-0.012579648,0.01448436,-0.077064537,-0.006534628,-0.000693816
Shelby County,-0.012487557,0.016870047,-0.01796671,0.005015757,-0.006192776,0.006492547,-0.044623874,-0.003801683,0.016694764
Smith County,0.018556022,-0.010898713,-0.017840344,0.003244331,-0.002567072,0.008296882,-0.071722144,0.006325476,0.001723334
Somervell County,-0.005260682,0.017165103,-0.013008693,-0.007461986,0.008803406,0.009379076,-0.023669449,-0.001631065,-0.023244033
Sutton County,0.002282178,-0.001879595,-0.000717242,5.04124E-05,-0.000364594,0.000546413,0.000303669,-5.32795E-05,5.04124E-05
Terrell County,0.000365313,-0.000316978,6.0861E-05,-7.50078E-05,-7.23553E-05,0.001295321,-0.000225318,-0.000161068,-0.000187888
Throckmorton County,-0.036448876,0.033868538,-0.000491927,0.005268853,0.004816781,0.016985132,-0.106862701,0.043895718,0.002163186
Travis County,-0.023643185,-0.004646096,-0.041592372,0.004929046,-0.000454148,0.003426317,-0.061510664,0.002846829,0.003461643
Trinity County,0.002680285,0.028534065,-0.042797934,0.000468697,0.004541446,0.008119216,-0.031365229,-0.00223787,-3.3096E-05
Tyler County,-0.001690992,0.047985101,-0.042942209,-0.001386814,0.007211507,-0.003699904,-0.032954102,-0.002356544,0.000161931
Van Zandt County,0.012593007,-0.000753511,-0.00594845,0.001478724,0.001897521,-0.000313693,-0.05331735,0.001103586,-0.006651026
Victoria County,0.010486894,-0.010006024,-0.008639256,-0.014027355,0.024555691,-0.008977429,-0.061929913,-0.005824793,0.006391282
Waller County,-0.009462075,-0.000526789,-0.002425915,-0.001597145,-0.00172599,0.010292187,-0.025915347,-0.012895935,0.009183581
Ward County,-0.018698237,0.000525493,-0.000439019,0.009562392,-0.006709182,-4.94728E-05,-0.013246664,0.002129411,-0.003447716
Wharton County,0.009263851,0.015134291,0.016219916,-0.010015437,0.00696432,0.006570269,-0.012931606,0.004720674,-0.006276239
Williamson County,0.004515952,0.012576542,-0.013103398,0.000764247,-0.000649381,0.006233135,-0.08024813,-0.001442115,0.025300114
Winkler County,-0.010503653,-0.006652713,0.011762241,0.00630781,0.018366214,-0.009543293,-0.082860686,0.020605401,0.013198857
Wood County,0.01879413,-0.016473084,-0.009915017,-0.010951421,0.002915917,0.010465935,-0.059442154,0.002928903,-0.001558852
Zavala County,0.008068156,-0.000187129,0.000286966,0.002835493,-0.006980888,0.004228948,-0.034891624,-0.000813916,-0.003302381
Carson County,0.001073567,0.018323207,-0.018294629,0.005979259,-0.018679308,0.018781212,-0.083277186,0.027930031,0.017947553
Castro County,0.00068587,0.018130931,-0.019479874,0.005993153,-0.003033672,-0.00238876,0.000800633,0.000693598,0.000182384
Childress County,0.00102585,0.006762238,-0.035521587,0.018937089,-0.020156716,0.004487547,0.005907281,-0.005258274,-0.002328247
Clay County,0.005040522,0.027303271,-0.035756936,0.002642393,0.006321579,-0.01507147,-0.056906655,0.00733099,0.001512561
Coke County,-0.016243911,-0.025516196,0.008496786,0.010020449,0.0156665,-0.006898233,-0.038313612,-0.013613731,-0.000645937
Gregg County,0.026115773,-0.014977663,-0.014812589,0.002864229,0.009329852,-0.011008318,-0.038444685,0.002157308,0.007546797
Hamilton County,0.069564245,-0.020083172,0.011578599,-0.001560487,-0.024509953,0.017222278,-0.150725369,-0.017147079,0.040169252
Hansford County,0.010250624,0.006271339,-0.02394065,0.007090981,-0.011775136,0.009580866,-0.004957873,-0.011414207,0.007182346
Hardeman County,0.018709212,-0.072800375,0.01396509,0.034717256,-0.027889291,0.013866857,0.013065532,-0.016327677,-0.003776748
Hartley County,0.004182394,0.021801359,-0.041916318,0.00606377,0.005954051,0.011527409,-0.07123677,0.024649547,0.01247071
Haskell County,-0.002098856,-0.004572207,-0.017658179,0.020927095,-0.016245708,0.02274422,-0.05660535,0.014596171,0.010936725
Hays County,-0.056592397,0.040046843,-0.054810788,0.016362589,0.00202948,-0.000289269,-0.099292744,0.009385388,-0.002995413
Hidalgo County,-0.020388623,0.007576555,-0.095415243,0.1010301,-0.025508445,-0.001653043,-0.039147254,6.7395E-05,-0.000265189
Anderson County,-0.004255966,-0.006386044,-0.008489044,7.41401E-06,-0.009209171,0.021523846,-0.078554364,0.016724401,0.005109222
Andrews County,0.020719192,-0.030701452,-0.020090685,-0.015247596,0.006590639,0.105116877,-0.144270876,0.017106725,0.003865721
Angelina County,0.010664996,0.005102031,-0.016095348,0.002713769,-0.002333608,0.013201545,-0.042606538,0.00791305,-0.004422483
Aransas County,0.07635281,-0.108839923,0.017206415,-0.024822413,0.048318673,-0.044252026,-0.015268851,0.001965865,-0.004998574
Armstrong County,-0.004937676,0.030694588,-0.022783658,-0.009364283,0.00156439,-0.001451833,-0.043170538,0.002300573,0.00713748
Austin County,-0.015657642,0.008249697,-0.011058183,0.003798471,-0.006153788,0.014359544,-0.04808838,-0.003365948,0.003058365
